time,AX,AY,AZ,GX,GY,GZ
50.088455,2716.000000,-916.000000,-8592.000000,-11257.000000,-19933.000000,7292.000000
50.250321,-5460.000000,-6692.000000,-15380.000000,-4038.000000,6026.000000,-5747.000000
50.469079,1524.000000,-3464.000000,-14732.000000,-7307.000000,32767.000000,-9285.000000
50.659131,9788.000000,-3716.000000,-13268.000000,-4665.000000,24929.000000,-6974.000000
50.862804,15616.000000,-3576.000000,-344.000000,-4559.000000,21852.000000,-8570.000000
51.076400,12004.000000,1480.000000,15496.000000,-9089.000000,18471.000000,-7209.000000
51.256610,6360.000000,6804.000000,15792.000000,7124.000000,-2832.000000,-2165.000000
51.475345,8596.000000,6932.000000,19664.000000,-2523.000000,-3816.000000,726.000000
51.673701,12748.000000,7584.000000,20344.000000,-1520.000000,-32768.000000,14764.000000
51.869323,7376.000000,-16404.000000,-4316.000000,-3924.000000,-14990.000000,31498.000000
52.060486,4688.000000,-9512.000000,-1688.000000,-9146.000000,-9132.000000,13912.000000
52.285143,-2220.000000,-3984.000000,-6880.000000,-11640.000000,-8832.000000,4949.000000
52.481753,-10224.000000,-7436.000000,-8128.000000,4564.000000,-17207.000000,-976.000000
52.669137,-10792.000000,-5732.000000,-4408.000000,1261.000000,-7868.000000,-1992.000000
52.875191,-10252.000000,-11300.000000,-6188.000000,1858.000000,1030.000000,-4010.000000
53.094255,-8440.000000,-12400.000000,-8792.000000,1057.000000,13491.000000,-9375.000000
53.269025,92.000000,-13308.000000,640.000000,10790.000000,15357.000000,-11840.000000
53.488288,11048.000000,-15596.000000,-684.000000,4620.000000,13585.000000,-27887.000000
53.673885,13396.000000,-8064.000000,5244.000000,3617.000000,15487.000000,-22515.000000
53.881658,15404.000000,2136.000000,16312.000000,5640.000000,6151.000000,-14791.000000
54.100434,13660.000000,9932.000000,19220.000000,2334.000000,-2011.000000,-1752.000000
54.285452,11732.000000,7524.000000,13948.000000,2226.000000,-6765.000000,3171.000000
54.494110,13320.000000,5088.000000,11788.000000,-652.000000,-2351.000000,1776.000000
54.673237,14640.000000,4956.000000,10880.000000,-1160.000000,-2922.000000,1.000000
54.915809,15424.000000,4980.000000,11164.000000,-1762.000000,-2816.000000,2303.000000
55.106890,16228.000000,1384.000000,8196.000000,301.000000,-6544.000000,14537.000000
55.299676,10980.000000,-3352.000000,92.000000,-902.000000,-29465.000000,27927.000000
55.500561,9816.000000,-8956.000000,-2132.000000,-8720.000000,-20324.000000,10281.000000
55.719316,8340.000000,-15932.000000,-4760.000000,3628.000000,5110.000000,2042.000000
55.913637,-1184.000000,-10696.000000,-14652.000000,3566.000000,-16228.000000,15244.000000
56.112901,-8484.000000,-11684.000000,-14764.000000,11183.000000,792.000000,9360.000000
56.290227,-5248.000000,-8540.000000,-7756.000000,-1077.000000,-1149.000000,-1787.000000
56.506751,-5792.000000,-10868.000000,-10996.000000,-530.000000,4450.000000,-1978.000000
56.725563,-948.000000,-9864.000000,-12144.000000,-1364.000000,21277.000000,-2808.000000
56.913107,2404.000000,-15980.000000,-9336.000000,7388.000000,12109.000000,-9038.000000
57.119102,11708.000000,-4216.000000,4128.000000,-4707.000000,11274.000000,15654.000000
57.300548,2648.000000,-13920.000000,2120.000000,4394.000000,6905.000000,9517.000000
57.527160,-4312.000000,-20304.000000,10668.000000,14282.000000,-3030.000000,18452.000000
57.731832,-7952.000000,-14684.000000,4236.000000,4521.000000,1689.000000,2131.000000
57.923647,-7768.000000,-12536.000000,8748.000000,4236.000000,-1714.000000,-1190.000000
58.125382,-7820.000000,-12916.000000,7852.000000,3371.000000,1.000000,1722.000000
58.344178,-7956.000000,-12532.000000,8096.000000,544.000000,1579.000000,1276.000000
58.540805,-8272.000000,-14680.000000,13100.000000,-5444.000000,-1837.000000,-3739.000000
58.738257,-4168.000000,-15352.000000,2648.000000,-9158.000000,-16802.000000,-9507.000000
58.933686,1616.000000,-13020.000000,1888.000000,-11239.000000,-15957.000000,-13598.000000
59.163781,5704.000000,-15004.000000,-3692.000000,-7541.000000,-2195.000000,-4386.000000
59.350753,3824.000000,-12520.000000,-10452.000000,-10802.000000,-5890.000000,-11127.000000
59.553237,3652.000000,-10768.000000,-14536.000000,-5007.000000,-12596.000000,3389.000000
59.744299,276.000000,-11116.000000,-18812.000000,19884.000000,570.000000,-2502.000000
59.963059,280.000000,-12160.000000,-17112.000000,1903.000000,-8126.000000,7183.000000
60.138064,6800.000000,-6020.000000,-9892.000000,7067.000000,11716.000000,3244.000000
60.356880,-1108.000000,-22144.000000,-18864.000000,1321.000000,-6976.000000,12016.000000
60.543279,8020.000000,-14684.000000,-18080.000000,-7460.000000,-6252.000000,3055.000000
60.750451,-7100.000000,-10904.000000,-9620.000000,-659.000000,6190.000000,-3067.000000
60.972488,-364.000000,-9928.000000,-6580.000000,1511.000000,15704.000000,-9340.000000
61.144355,3328.000000,-10656.000000,-13904.000000,-9508.000000,15178.000000,-13928.000000
61.374485,6660.000000,-13412.000000,-12.000000,8956.000000,21902.000000,14601.000000
61.546637,2228.000000,-14512.000000,8396.000000,2015.000000,20407.000000,11345.000000
61.756773,-976.000000,-15824.000000,7212.000000,-1172.000000,1860.000000,6477.000000
61.975646,-4068.000000,-17196.000000,4072.000000,-2768.000000,1432.000000,3965.000000
62.151047,-5548.000000,-17228.000000,3404.000000,609.000000,2506.000000,3737.000000
62.389239,-4972.000000,-15188.000000,1804.000000,-308.000000,64.000000,254.000000
62.588040,-5484.000000,-15020.000000,1704.000000,-1220.000000,173.000000,73.000000
62.763122,-5544.000000,-18472.000000,2252.000000,-1118.000000,-9949.000000,-13459.000000
63.007942,3440.000000,-14004.000000,780.000000,-10831.000000,-9360.000000,-15750.000000
63.157789,7356.000000,-15508.000000,7688.000000,-25393.000000,7486.000000,-24098.000000
63.384808,11488.000000,-1708.000000,-8360.000000,8095.000000,-18983.000000,-6256.000000
63.596402,-560.000000,-13332.000000,-4260.000000,1162.000000,22341.000000,1778.000000
63.770377,368.000000,-18964.000000,-4148.000000,9869.000000,7933.000000,-18180.000000
63.988757,-8192.000000,-23080.000000,-3012.000000,-3218.000000,-902.000000,-6082.000000
64.163399,-14044.000000,-22500.000000,-12624.000000,-7375.000000,-20732.000000,-7354.000000
64.381896,-6156.000000,-12268.000000,-4096.000000,1929.000000,-98.000000,320.000000
64.606393,-6160.000000,-13064.000000,-2168.000000,-1364.000000,337.000000,-1307.000000
64.775843,-4944.000000,-8156.000000,-7148.000000,-1146.000000,7429.000000,-3512.000000
64.994973,-3780.000000,-13140.000000,476.000000,-6585.000000,13558.000000,-6771.000000
65.213974,-1328.000000,-11268.000000,-480.000000,3435.000000,20956.000000,-8104.000000
65.388247,-3836.000000,-23940.000000,-380.000000,21302.000000,17119.000000,-30984.000000
65.612192,-1560.000000,-13220.000000,12852.000000,5343.000000,13022.000000,-2.000000
65.782797,-4452.000000,-16152.000000,8668.000000,5411.000000,-7097.000000,-4099.000000
66.001521,-6848.000000,-8188.000000,5480.000000,-499.000000,6908.000000,734.000000
66.220249,-10808.000000,-14024.000000,10120.000000,407.000000,260.000000,380.000000
66.394228,-10292.000000,-12684.000000,7972.000000,-4343.000000,-3912.000000,-7109.000000
66.615040,-3348.000000,-11960.000000,4668.000000,-13710.000000,-2542.000000,-17543.000000
66.875812,4084.000000,-9544.000000,-544.000000,-12953.000000,-16978.000000,-2596.000000
67.006982,1084.000000,-13336.000000,-8892.000000,-9837.000000,-11437.000000,-640.000000
67.226272,1416.000000,-4536.000000,-12756.000000,-11475.000000,-4013.000000,-6752.000000
67.401334,176.000000,-5888.000000,-9512.000000,-4224.000000,1214.000000,4414.000000
67.619452,-3008.000000,-6576.000000,-13304.000000,-1138.000000,-2553.000000,2012.000000
67.839601,-7608.000000,-5260.000000,-8220.000000,4925.000000,-11524.000000,732.000000
68.013339,-6900.000000,-7596.000000,-10692.000000,-2689.000000,-1055.000000,1093.000000
68.232166,-8172.000000,-7000.000000,-11556.000000,4569.000000,-4054.000000,1001.000000
68.407083,-3608.000000,-7540.000000,-8424.000000,9229.000000,28470.000000,-6343.000000
68.625691,4316.000000,-10420.000000,-6328.000000,14591.000000,23678.000000,-5702.000000
68.857319,5940.000000,-14684.000000,-1452.000000,14742.000000,8192.000000,-4316.000000
69.019257,4464.000000,-12164.000000,6832.000000,9544.000000,7615.000000,-5900.000000
69.239771,4468.000000,-7908.000000,11388.000000,10792.000000,-296.000000,-2094.000000
69.482787,3572.000000,-4024.000000,17456.000000,10024.000000,10778.000000,2859.000000
69.636214,2508.000000,-4668.000000,18108.000000,2694.000000,52.000000,-3055.000000
69.861322,2608.000000,-5092.000000,17652.000000,-2171.000000,-2117.000000,-1595.000000
70.026048,3124.000000,-1792.000000,18832.000000,605.000000,3572.000000,547.000000
70.247142,6748.000000,-5548.000000,17988.000000,-11651.000000,-5614.000000,6901.000000
70.473044,5088.000000,-10100.000000,12984.000000,-7381.000000,-20222.000000,10288.000000
70.638733,3252.000000,-16572.000000,6300.000000,-13831.000000,-21117.000000,18564.000000
