time,AX,AY,AZ,GX,GY,GZ
32.638464,-2292.000000,1744.000000,-14816.000000,-390.000000,19.000000,-16.000000
32.812007,-2356.000000,1772.000000,-14848.000000,-384.000000,-7.000000,-7.000000
33.030754,-2228.000000,1796.000000,-15020.000000,-382.000000,-3.000000,-24.000000
33.249648,-2328.000000,1784.000000,-14720.000000,-426.000000,-6.000000,-23.000000
33.428241,-2372.000000,1820.000000,-14884.000000,-191.000000,72.000000,451.000000
33.672207,-2220.000000,1640.000000,-14888.000000,-313.000000,187.000000,1750.000000
33.831505,-2728.000000,2144.000000,-14808.000000,60.000000,2003.000000,2345.000000
34.044390,-3000.000000,2088.000000,-14788.000000,-2853.000000,767.000000,-4130.000000
34.256210,-4872.000000,4768.000000,-14428.000000,-5265.000000,-11071.000000,3923.000000
34.432828,-5752.000000,7144.000000,-9372.000000,-22165.000000,26.000000,-3042.000000
34.666058,-13808.000000,9520.000000,-9172.000000,10423.000000,-12664.000000,-15226.000000
34.836672,-11584.000000,7204.000000,6288.000000,-25807.000000,-8876.000000,6676.000000
35.045815,-10248.000000,4848.000000,6108.000000,-6457.000000,-15265.000000,9718.000000
35.274935,-10576.000000,8660.000000,13956.000000,15960.000000,-14932.000000,-5259.000000
35.437177,-15376.000000,10184.000000,13748.000000,3754.000000,9383.000000,-8022.000000
35.672680,-21332.000000,1156.000000,-8096.000000,13463.000000,15714.000000,-15647.000000
35.912261,-14344.000000,3696.000000,640.000000,12849.000000,13201.000000,-12112.000000
36.050424,-11492.000000,-9180.000000,-10280.000000,16295.000000,-5662.000000,-1291.000000
36.292890,-6836.000000,-10944.000000,-9256.000000,17787.000000,10832.000000,-24596.000000
36.444111,10960.000000,-14812.000000,20064.000000,13145.000000,18217.000000,-3883.000000
36.665003,5336.000000,-9224.000000,6184.000000,-2395.000000,17052.000000,11593.000000
36.882840,-2876.000000,-24488.000000,11876.000000,-907.000000,-1448.000000,2021.000000
37.056258,4204.000000,-13600.000000,4896.000000,-4328.000000,-16659.000000,-13478.000000
37.306339,9300.000000,-11400.000000,-4012.000000,-12734.000000,-18742.000000,-15923.000000
37.450608,14264.000000,-5872.000000,-6520.000000,-3367.000000,-7677.000000,-18701.000000
37.673755,12424.000000,4628.000000,-4536.000000,-3969.000000,-1616.000000,-18651.000000
37.888606,14128.000000,6828.000000,-13000.000000,7037.000000,-5816.000000,2478.000000
38.062463,8980.000000,2532.000000,-15260.000000,14883.000000,4955.000000,16807.000000
38.303614,7728.000000,-13932.000000,-6320.000000,11584.000000,4615.000000,21528.000000
38.500684,3668.000000,-11528.000000,-2764.000000,4449.000000,10212.000000,15605.000000
38.679696,-2052.000000,-14676.000000,-264.000000,3690.000000,4802.000000,14182.000000
38.893934,-11340.000000,-17376.000000,-8548.000000,1117.000000,-11287.000000,5657.000000
39.113999,-5016.000000,-14520.000000,-3228.000000,2104.000000,10509.000000,-6058.000000
39.310857,4460.000000,-14952.000000,-1624.000000,4545.000000,2153.000000,-10445.000000
39.506649,8892.000000,-12964.000000,-6076.000000,-426.000000,3946.000000,-7332.000000
39.682860,12852.000000,-3160.000000,-6316.000000,-35.000000,1021.000000,-7907.000000
39.914865,12364.000000,-444.000000,-10944.000000,-8638.000000,-123.000000,-14122.000000
40.075973,14076.000000,-3428.000000,-9144.000000,-5857.000000,-9314.000000,-7113.000000
40.294106,13008.000000,4404.000000,-13988.000000,-2239.000000,-1409.000000,-1026.000000
40.515140,13412.000000,-2404.000000,-8712.000000,1769.000000,10042.000000,10656.000000
40.688845,13396.000000,-7024.000000,-7804.000000,2070.000000,5527.000000,13927.000000
40.918583,9796.000000,-11068.000000,-8044.000000,-500.000000,5196.000000,16467.000000
41.125574,4792.000000,-11924.000000,-5528.000000,-1940.000000,-720.000000,15904.000000
41.300528,-4468.000000,-18552.000000,-5640.000000,-2484.000000,1831.000000,17054.000000
41.518896,-2572.000000,-16112.000000,-3188.000000,-728.000000,-7690.000000,-19740.000000
41.693803,5080.000000,-15152.000000,-2668.000000,4135.000000,-1339.000000,-12968.000000
41.936903,10344.000000,-12596.000000,-4704.000000,-1735.000000,-4846.000000,-10827.000000
42.132130,11328.000000,-6408.000000,-8624.000000,-3233.000000,-10331.000000,-11971.000000
42.307212,12312.000000,1656.000000,-14000.000000,-5679.000000,-6726.000000,-5505.000000
42.537587,11540.000000,1040.000000,-16180.000000,4085.000000,4301.000000,4912.000000
42.806254,11852.000000,-3496.000000,-8540.000000,2503.000000,14831.000000,17274.000000
42.921766,8232.000000,-13232.000000,-3292.000000,861.000000,10736.000000,19535.000000
